#;Família (FB 2020);Espécie (FB 2020);Nome avaliação anterior;Categoria em 2014;Sugestão de Categoria 2021;EW;CR;EN,;VU;Mesma Categoria de Ameaça 2014;Aumentou a Categoria de Ameaça;Reduziu a Categoria de Ameaça;Entrou em Categoria de Ameaça;Saíram da Categoria de Ameaça;Saíram da Lista por serem sinonímias taxonômicas
2323;Myrtaceae;Psidium rotundidiscum Proença & Tuler;Psidium rotundidiscum;;Em Perigo (EN);;;X;;;;;X;;
2324;Myrtaceae;Psidium sessiliflorum (Landrum) Proença & Tuler;Calycolpus sessiliflorus;;Em Perigo (EN);;;X;;;;;X;;
2325;Myrtaceae;Siphoneugena delicata Sobral & Proença;Siphoneugena delicata;;Vulnerável (VU);;;;X;;;;X;;
2326;Myrtaceae;Siphoneugena kuhlmannii Mattos;Siphoneugena kuhlmannii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2327;Myrtaceae;Siphoneugena martinellii (G.M.Barroso & Peixoto) Stadnik;Marlierea martinellii;;Em Perigo (EN);;;X;;;;;X;;
2328;Nyctaginaceae;Bougainvillea fasciculata Brandão;Bougainvillea fasciculata;;Em Perigo (EN);;;X;;;;;X;;
2329;Nyctaginaceae;Neea alumnorum M. Pignal, Soares Filho & Romaniuc;Neea alumnorum;;Em Perigo (EN);;;X;;;;;X;;
2330;Ochnaceae;Elvasia gigantifolia Fraga & Saavedra;Elvasia gigantifolia;;Vulnerável (VU);;;;X;;;;X;;
2331;Ochnaceae;Luxemburgia angustifolia Planch.;Luxemburgia angustifolia;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2332;Ochnaceae;Luxemburgia corymbosa A.St.-Hil.;Luxemburgia corymbosa;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2333;Ochnaceae;Luxemburgia flexuosa Sastre;Luxemburgia flexuosa;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2334;Ochnaceae;Luxemburgia glazioviana (Engl.) Beauverd;Luxemburgia glazioviana;;Vulnerável (VU);;;;X;;;;X;;
2335;Ochnaceae;Ouratea campos-portoi Sleumer;Ouratea campos-portoi;;Em Perigo (EN);;;X;;;;;X;;
2336;Ochnaceae;Ouratea cauliflora Fraga & Saavedra;Ouratea cauliflora;;Vulnerável (VU);;;;X;;;;X;;
2337;Ochnaceae;Ouratea chrysopetala Ule;Ouratea chrysopetala;;Vulnerável (VU);;;;X;;;;X;;
2338;Ochnaceae;Ouratea conduplicata (Klotzsch) Engl.;Ouratea conduplicata;;Em Perigo (EN);;;X;;;;;X;;
2339;Ochnaceae;Ouratea grandifolia (Planch.) Engl.;Ouratea grandifolia;;Em Perigo (EN);;;X;;;;;X;;
2340;Ochnaceae;Ouratea hatschbachii K.Yamam.;Ouratea hatschbachii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2341;Ochnaceae;Ouratea miersii (Planch.) Engl.;Ouratea miersii;;Em Perigo (EN);;;X;;;;;X;;
2342;Ochnaceae;Ouratea pycnostachys (Mart.) Engl.;Ouratea pycnostachys;;Em Perigo (EN);;;X;;;;;X;;
2343;Ochnaceae;Ouratea robusta F.O.Silva & M.R.V.Barbosa;Ouratea robusta;;Em Perigo (EN);;;X;;;;;X;;
2344;Ochnaceae;Ouratea xerophila Rizzini;Ouratea xerophila;;Vulnerável (VU);;;;X;;;;X;;
2345;Ochnaceae;Sauvagesia nitida Zappi & E.Lucas;Sauvagesia nitida;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2346;Ochnaceae;Wallacea multiflora Ducke;Wallacea multiflora;;Em Perigo (EN);;;X;;;;;X;;
2347;Olacaceae;Dulacia egleri (Bastos) Sleumer;Dulacia egleri;;Em Perigo (EN);;;X;;;;;X;;
2348;Olacaceae;Dulacia gardneriana (Benth.) Kuntze;Dulacia gardneriana;;Em Perigo (EN);;;X;;;;;X;;
2349;Olacaceae;Dulacia singularis Vell.;Dulacia singularis;;Em Perigo (EN);;;X;;;;;X;;
2350;Oleaceae;Chionanthus ferrugineus (Gilg) P.S.Green;Chionanthus ferrugineus;;Em Perigo (EN);;;X;;;;;X;;
2351;Oleaceae;Chionanthus fluminensis (Miers) P.S.Green;Chionanthus fluminensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2352;Oleaceae;Chionanthus micranthus (Mart.) Lozano & Fuertes;Chionanthus micranthus;;Em Perigo (EN);;;X;;;;;X;;
2353;Oleaceae;Chionanthus parviflorus Cornejo, Lombardi & W. Thomas;Chionanthus parviflorus;;Em Perigo (EN);;;X;;;;;X;;
2354;Oleaceae;Chionanthus subsessilis (Eichler) P.S.Green;Chionanthus subsessilis;Vulnerável (VU);Em Perigo (EN);;;X;;;X;;;;
2355;Oleaceae;Priogymnanthus saxicola Lombardi;Priogymnanthus saxicola;;Criticamente em Perigo (CR);;X;;;;;;X;;
2356;Onagraceae;Fuchsia alpestris Gardner;Fuchsia alpestris;;Vulnerável (VU);;;;X;;;;X;;
2357;Onagraceae;Fuchsia glazioviana Taub.;Fuchsia glazioviana;;Em Perigo (EN);;;X;;;;;X;;
2358;Orchidaceae;Acianthera adiri (Brade) Pridgeon & M.W.Chase;Acianthera adiri;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2359;Orchidaceae;Acianthera bidentata (Lindl.) F.Barros & L.Guimarães;Acianthera bidentata;;Vulnerável (VU);;;;X;;;;X;;
2360;Orchidaceae;Acianthera heringeri (Hoehne) F.Barros;Acianthera heringeri;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2361;Orchidaceae;Acianthera langeana (Kraenzl.) Pridgeon & M.W.Chase;Acianthera langeana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2362;Orchidaceae;Acianthera papillosa (Lindl.) Pridgeon & M.W.Chase;Acianthera papillosa;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2363;Orchidaceae;Acianthera subrotundifolia (Cogn.) F.Barros & V.T.Rodrigues;Acianthera subrotundifolia;;Vulnerável (VU);;;;X;;;;X;;
2364;Orchidaceae;Adamantinia miltonioides van den Berg & C.N.Gonç.;Adamantinia miltonioides;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2365;Orchidaceae;Anathallis colnagoi (Pabst) F.Barros & L.Guimarães;Anathallis colnagoi;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2366;Orchidaceae;Anathallis gehrtii (Hoehne & Schltr.) F.Barros;Anathallis gehrtii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2367;Orchidaceae;Anathallis pabstii (Garay) Pridgeon & M.W.Chase;Anathallis pabstii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2368;Orchidaceae;Anathallis pubipetala (Hoehne) Pridgeon & M.W.Chase;Anathallis pubipetala;;Em Perigo (EN);;;X;;;;;X;;
2369;Orchidaceae;Anathallis spannageliana (Hoehne) Pridgeon & M.W.Chase;Anathallis spannageliana;;Vulnerável (VU);;;;X;;;;X;;
2370;Orchidaceae;Anathallis tigridens (Loefgr.) F.Barros & Barberena;Anathallis tigridens;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2371;Orchidaceae;Barbosella macaheensis (Cogn.) Luer;Barbosella macaheensis;;Vulnerável (VU);;;;X;;;;X;;
2372;Orchidaceae;Barbosella trilobata Pabst;Barbosella trilobata;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2373;Orchidaceae;Bifrenaria silvana V.P.Castro;Bifrenaria silvana;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2374;Orchidaceae;Bifrenaria wittigii (Rchb.f.) Hoehne;Bifrenaria wittigii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2375;Orchidaceae;Bipinnula biplumata (L.f.) Rchb.f.;Bipinnula biplumata;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2376;Orchidaceae;Bipinnula penicillata (Rchb.f.) Cisternas & Salazar;Bipinnula penicillata;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2377;Orchidaceae;Brachionidium restrepioides (Hoehne) Pabst;Brachionidium restrepioides;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2378;Orchidaceae;Brachystele camporum (Lindl.) Schltr.;Brachystele camporum;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2379;Orchidaceae;Brassia arachnoidea Barb.Rodr.;Brassia arachnoidea;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2380;Orchidaceae;Bulbophyllum arianeae Fraga & E.C.Smidt;Bulbophyllum arianeae;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2381;Orchidaceae;Bulbophyllum boudetianum Fraga;Bulbophyllum boudetianum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2382;Orchidaceae;Bulbophyllum kautskyi Toscano;Bulbophyllum kautskyi;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2383;Orchidaceae;Bulbophyllum macroceras Barb.Rodr.;Bulbophyllum macroceras;;Criticamente em Perigo (CR);;X;;;;;;X;;
2384;Orchidaceae;Campylocentrum organense (Rchb.f.) Rolfe;Campylocentrum organense;;Vulnerável (VU);;;;X;;;;X;;
2385;Orchidaceae;Campylocentrum pernambucense Hoehne;Campylocentrum pernambucense;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2386;Orchidaceae;Catasetum mattosianum Bicalho;Catasetum mattosianum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2387;Orchidaceae;Cattleya aclandiae Lindl.;Cattleya aclandiae;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2388;Orchidaceae;Cattleya alaorii (Brieger & Bicalho) van den Berg;Hadrolaelia alaori;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2389;Orchidaceae;Cattleya briegeri (Blumensch. ex Pabst) van den Berg & M.W.Chase;Hoffmannseggella briegeri;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2390;Orchidaceae;Cattleya caulescens (Lindl.) Van den Berg;Hoffmannseggella caulescens;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2391;Orchidaceae;Cattleya crispa Lindl.;Brasilaelia crispa;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2392;Orchidaceae;Cattleya dormaniana Rchb.f.;Cattleya dormaniana;Em Perigo (EN);Criticamente em Perigo (CR);;X;;;;X;;;;
2393;Orchidaceae;Cattleya endsfeldzii (Pabst) Van den Berg;Hoffmannseggella endsfeldzii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2394;Orchidaceae;Cattleya ghillanyi (Pabst) Van den Berg;Hoffmannseggella ghillanyi;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2395;Orchidaceae;Cattleya gloedeniana (Hoehne) Van den Berg;Hoffmannseggella gloedeniana;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2396;Orchidaceae;Cattleya grandis (Lindl.) A.A.Chadwick;Brasilaelia grandis;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2397;Orchidaceae;Cattleya granulosa Lindl.;Cattleya schofieldiana;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2398;Orchidaceae;Cattleya guttata Lindl.;Cattleya guttata;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2399;Orchidaceae;Cattleya harpophylla (Rchb.f.) Van den Berg;Dungsia harpophylla;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2400;Orchidaceae;Cattleya harrisoniana Batem. ex Lindl.;Cattleya harrisoniana;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2401;Orchidaceae;Cattleya hoehnei Van den Berg;Hoffmannseggella mixta;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2402;Orchidaceae;Cattleya intermedia Grah.;Cattleya intermedia;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2403;Orchidaceae;Cattleya jongheana (Rchb.f.) Van den Berg;Hadrolaelia jongheana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2404;Orchidaceae;Cattleya kautskyana (V.P.Castro & Chiron) Van den Berg;Hoffmannseggella kautskyana;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2405;Orchidaceae;Cattleya labiata Lindl.;Cattleya labiata;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2406;Orchidaceae;Cattleya lobata Lindl.;Cattleya lobata;;Criticamente em Perigo (CR);;X;;;;;;X;;
2407;Orchidaceae;Cattleya milleri (Blumensch. ex Pabst) van den Berg & M.W.Chase;Hoffmannseggella milleri;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2408;Orchidaceae;Cattleya munchowiana (F.E.L.Miranda) Van den Berg;Hoffmannseggella munchowiana;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2409;Orchidaceae;Cattleya neokautskyi Van den Berg;Dungsia kautskyi;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2410;Orchidaceae;Cattleya perrinii Lindl.;Brasilaelia perrinii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2411;Orchidaceae;Cattleya porphyroglossa Linden & Rchb.f.;Cattleya porphyroglossa;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2412;Orchidaceae;Cattleya pumila Hook.;Hadrolaelia pumila;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2413;Orchidaceae;Cattleya purpurata (Lindl. & Paxton) Van den Berg;Brasilaelia purpurata;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2414;Orchidaceae;Cattleya pygmaea (Pabst) Van den Berg;Hadrolaelia pygmaea;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2415;Orchidaceae;Cattleya schilleriana Rchb.f.;Cattleya schilleriana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2416;Orchidaceae;Cattleya sincorana (Schltr.) Van den Berg;Hadrolaelia sincorana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2417;Orchidaceae;Cattleya tenebrosa (Gower) A.A.Chadwick;Brasilaelia tenebrosa;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2418;Orchidaceae;Cattleya tenuis Campacci & Vedovello;Cattleya tenuis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2419;Orchidaceae;Cattleya tigrina A.Rich.;Cattleya tigrina;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2420;Orchidaceae;Cattleya velutina Rchb.f.;Cattleya velutina;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2421;Orchidaceae;Cattleya walkeriana Gardner;Cattleya walkeriana;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2422;Orchidaceae;Cattleya warneri T.Moore;Cattleya warneri;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2423;Orchidaceae;Cattleya wittigiana (Barb.Rodr.) van den Berg;Hadrolaelia wittigiana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2424;Orchidaceae;Cattleya xanthina (Lindl.) Van den Berg;Brasilaelia xanthina;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2425;Orchidaceae;Centroglossa castellensis Brade;Centroglossa castellensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2426;Orchidaceae;Centroglossa greeniana (Rchb.f.) Cogn.;Centroglossa greeniana;;Em Perigo (EN);;;X;;;;;X;;
2427;Orchidaceae;Chloraea membranacea Lindl.;Chloraea membranacea;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2428;Orchidaceae;Cirrhaea fuscolutea Lindl.;Cirrhaea fuscolutea;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2429;Orchidaceae;Cirrhaea loddigesii Lindl.;Cirrhaea loddigesii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2430;Orchidaceae;Cirrhaea longiracemosa Hoehne;Cirrhaea longiracemosa;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2431;Orchidaceae;Cleistes aphylla (Barb.Rodr.) Hoehne;Cleistes aphylla;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2432;Orchidaceae;Codonorchis canisioi Mansf.;Codonorchis canisioi;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2433;Orchidaceae;Constantia cipoensis Porto & Brade;Constantia cipoensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2434;Orchidaceae;Cyclopogon dutrae Schltr.;Cyclopogon dutrae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2435;Orchidaceae;Cyclopogon venustus (Barb.Rodr.) Schltr.;Cyclopogon venustus;;Em Perigo (EN);;;X;;;;;X;;
2436;Orchidaceae;Cycnoches pentadactylum Lindl.;Cycnoches pentadactylum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2437;Orchidaceae;Cyrtopodium caiapoense L.C.Menezes;Cyrtopodium caiapoense;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2438;Orchidaceae;Cyrtopodium hatschbachii Pabst;Cyrtopodium hatschbachii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2439;Orchidaceae;Cyrtopodium lamellaticallosum J.A.N.Bat. & Bianch.;Cyrtopodium lamellaticallosum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2440;Orchidaceae;Cyrtopodium latifolium Bianch. & J.A.N.Bat.;Cyrtopodium latifolium;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2441;Orchidaceae;Cyrtopodium linearifolium J.A.N.Batista & Bianchetti;Cyrtopodium linearifolium;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2442;Orchidaceae;Cyrtopodium lissochiloides Hoehne & Schltr.;Cyrtopodium lissochiloides;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2443;Orchidaceae;Cyrtopodium palmifrons Rchb.f. & Warm.;Cyrtopodium palmifrons;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2444;Orchidaceae;Cyrtopodium poecilum var. roseum Bianch. & J.A.N.Bat.;Cyrtopodium poecilum var. roseum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2445;Orchidaceae;Cyrtopodium triste Rchb.f. & Warm.;Cyrtopodium triste;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2446;Orchidaceae;Dichaea mosenii Cogn.;Dichaea mosenii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2447;Orchidaceae;Dryadella auriculigera (Rchb.f.) Luer;Dryadella auriculigera;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2448;Orchidaceae;Dryadella lilliputiana (Cogn.) Luer;Dryadella lilliputiana;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2449;Orchidaceae;Dryadella susanae (Pabst) Luer;Dryadella susanae;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2450;Orchidaceae;Encyclia bragancae Ruschi;Encyclia bragancae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2451;Orchidaceae;Epidendrum addae Pabst;Epidendrum addae;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2452;Orchidaceae;Epidendrum ammophilum Barb.Rodr.;Epidendrum ammophilum;;Em Perigo (EN);;;X;;;;;X;;
2453;Orchidaceae;Epidendrum harrisoniae Hook.;Epidendrum harrisoniae;;Criticamente em Perigo (CR);;X;;;;;;X;;
2454;Orchidaceae;Epidendrum henschenii Barb.Rodr.;Epidendrum henschenii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2455;Orchidaceae;Epidendrum robustum Cogn.;Epidendrum robustum;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2456;Orchidaceae;Epidendrum zappii Pabst;Epidendrum zappii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2457;Orchidaceae;Gomesa kautskyi (Pabst) M.W.Chase & N.H.Williams;Baptistonia kautskyi;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2458;Orchidaceae;Gomesa majevskyae (Toscano & V.P.Castro) M.W.Chase & N.H.Williams;Coppensia majevskyi;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2459;Orchidaceae;Gomesa pectoralis (Lindl.) M.W.Chase & N.H.Williams;Brasilidium marshallianum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2460;Orchidaceae;Gomesa pulchella (Regel) M.W.Chase & N.H.Williams;Gomesa pulchella;;Criticamente em Perigo (CR);;X;;;;;;X;;
2461;Orchidaceae;Grandiphyllum divaricatum (Lindl.) Docha Neto;Grandiphyllum divaricatum;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2462;Orchidaceae;Grandiphyllum hians (Lindl.) Docha Neto;Grandiphyllum hians;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2463;Orchidaceae;Grobya cipoensis F.Barros & Lourenço;Grobya cipoensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2464;Orchidaceae;Grobya fascifera Rchb.f.;Grobya fascifera;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2465;Orchidaceae;Habenaria achalensis Kraenzl.;Habenaria achalensis;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2466;Orchidaceae;Habenaria brachyplectron Hoehne & Schltr.;Habenaria brachyplectron;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2467;Orchidaceae;Habenaria ernesti-ulei Hoehne;Habenaria ernestulei;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2468;Orchidaceae;Habenaria galeandriformis Hoehne;Habenaria galeandriformis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2469;Orchidaceae;Habenaria itaculumia Garay;Habenaria itaculumia;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2470;Orchidaceae;Habenaria novaesii Edwall & Hoehne;Habenaria novaesii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2471;Orchidaceae;Habenaria piraquarensis Hoehne;Habenaria piraquarensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2472;Orchidaceae;Houlletia brocklehurstiana Lindl.;Houlletia brocklehurstiana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2473;Orchidaceae;Isabelia virginalis Barb.Rodr.;Isabelia virginalis;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2474;Orchidaceae;Lankesterella spannageliana (Hoehne & Brade) Mansf.;Lankesterella spannageliana;;Em Perigo (EN);;;X;;;;;X;;
2475;Orchidaceae;Malaxis jaraguae (Hoehne & Schltr.) Pabst;Malaxis jaraguae;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2476;Orchidaceae;Masdevallia discoidea Luer & Würstle;Masdevallia discoidea;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2477;Orchidaceae;Maxillaria schunkeana Campacci & Kautsky;Brasiliorchis schunkeana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2478;Orchidaceae;Miltonia kayasimae Pabst;Miltonia kayasimae;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2479;Orchidaceae;Myoxanthus ruschii Fraga & L.Kollmann;Myoxanthus ruschii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2480;Orchidaceae;Myoxanthus seidelii (Pabst) Luer;Myoxanthus seidelii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2481;Orchidaceae;Notylia microchila Cogn.;Notylia microchila;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2482;Orchidaceae;Octomeria alexandri Schltr.;Octomeria alexandri;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2483;Orchidaceae;Octomeria chamaeleptotes Rchb.f.;Octomeria chamaeleptotes;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2484;Orchidaceae;Octomeria cochlearis Rchb.f.;Octomeria cochlearis;;Em Perigo (EN);;;X;;;;;X;;
2485;Orchidaceae;Octomeria fimbriata Porto & Peixoto;Octomeria fimbriata;;Vulnerável (VU);;;;X;;;;X;;
2486;Orchidaceae;Octomeria geraensis Barb.Rodr.;Octomeria geraensis;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2487;Orchidaceae;Octomeria hatschbachii Schltr.;Octomeria hatschbachii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2488;Orchidaceae;Octomeria hoehnei Schltr.;Octomeria hoehnei;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2489;Orchidaceae;Octomeria lichenicola Barb.Rodr.;Octomeria lichenicola;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2490;Orchidaceae;Octomeria rodeiensis Barb.Rodr.;Octomeria rodeiensis;;Em Perigo (EN);;;X;;;;;X;;
2491;Orchidaceae;Octomeria rodriguesii Cogn.;Octomeria rodriguesii;;Em Perigo (EN);;;X;;;;;X;;
2492;Orchidaceae;Octomeria truncicola Barb.Rodr.;Octomeria truncicola;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2493;Orchidaceae;Octomeria wawrae Rchb.f.;Octomeria wawrae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2494;Orchidaceae;Octomeria wilsoniana Hoehne;Octomeria wilsoniana;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2495;Orchidaceae;Pabstiella bacillaris (Pabst) Luer;Pabstiella bacillaris;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2496;Orchidaceae;Pabstiella calcarata (Cogn.) Luer;Pabstiella calcarata;;Vulnerável (VU);;;;X;;;;X;;
2497;Orchidaceae;Pabstiella carinifera (Barb.Rodr.) Luer;Pabstiella carinifera;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
2498;Orchidaceae;Pabstiella castellensis (Brade) Luer;Pabstiella castellensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2499;Orchidaceae;Pabstiella conspersa (Hoehne) Luer;Pabstiella conspersa;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
2500;Orchidaceae;Pabstiella curti-bradei (Pabst) Luer;Pabstiella curti-bradei;;Vulnerável (VU);;;;X;;;;X;;
2501;Orchidaceae;Pabstiella dracula (Seehawer) Luer & Toscano;Pabstiella dracula;;Vulnerável (VU);;;;X;;;;X;;
2502;Orchidaceae;Pabstiella garayi (Pabst) Luer;Pabstiella garayi;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
2503;Orchidaceae;Pabstiella gracilicaulis (Seehawer) Luer;Pabstiella gracilicaulis;;Vulnerável (VU);;;;X;;;;X;;
2504;Orchidaceae;Pabstiella lingua (Lindl.) Luer;Pabstiella lingua;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
